Date,S&P,SAP,Google
2016-05-09,2058.689941,76.999997,729.130005
2016-05-06,2057.139893,76.036395,725.179993
2016-05-05,2050.6298829999996,75.780742,714.710022
2016-05-04,2051.1201170000004,76.174052,711.369995
2016-05-03,2063.3701170000004,77.20648299999999,708.4400019999999
2016-05-02,2081.429932,78.41591,714.409973
2016-04-29,2065.300049,77.304816,707.880005
2016-04-28,2075.810059,78.04226899999999,705.0599980000001
2016-04-27,2095.149902,79.66466199999999,721.460022
2016-04-26,2091.699951,78.17009200000001,725.369995
2016-04-25,2087.790039,78.612561,742.210022
2016-04-22,2091.580078,78.858379,737.77002
2016-04-21,2091.47998,78.779723,780.0
2016-04-20,2102.399902,79.20253000000001,774.919983
2016-04-19,2100.800049,79.281186,776.25
2016-04-18,2094.340088,78.012765,787.679993
2016-04-15,2080.72998,77.196655,780.0
2016-04-14,2082.780029,77.707953,775.3900150000001
2016-04-13,2082.419922,77.019666,771.909973
2016-04-12,2061.719971,77.265484,764.320007
2016-04-11,2041.9899899999998,75.613587,757.539978
2016-04-08,2047.5999760000002,75.426763,759.469971
2016-04-07,2041.910034,75.977393,760.119995
2016-04-06,2066.659912,77.86528,768.070007
2016-04-05,2045.1700440000002,76.547692,758.570007
2016-04-04,2066.1298829999996,78.209424,765.119995
2016-04-01,2072.780029,78.396248,769.669983
2016-03-31,2059.73999,79.0747,762.900024
2016-03-30,2063.949951,79.340188,768.340027
2016-03-29,2055.01001,78.858379,765.8900150000001
2016-03-28,2037.050049,78.887884,753.280029
2016-03-24,2035.939941,78.111098,754.840027
2016-03-23,2036.709961,78.160257,757.5599980000001
2016-03-22,2049.800049,78.229086,760.049988
2016-03-21,2051.600098,78.288087,762.159973
2016-03-18,2049.580078,78.573237,755.409973
2016-03-17,2040.589966,78.54373299999999,758.47998
2016-03-16,2027.219971,78.73055699999999,757.3599849999999
2016-03-15,2015.930054,77.993103,750.570007
2016-03-14,2019.640015,77.44247299999999,750.23999
2016-03-11,2022.189941,77.334313,744.869995
2016-03-10,1989.569946,75.574256,732.169983
2016-03-09,1989.2600100000002,75.731575,725.409973
2016-03-08,1979.2600100000002,75.06295,713.530029
2016-03-07,2001.7600100000002,75.18094599999999,712.799988
2016-03-04,1999.9899899999998,75.652919,730.219971
2016-03-03,1993.4000239999998,75.38743199999999,731.590027
2016-03-02,1986.449951,76.410035,739.47998
2016-03-01,1978.3499760000002,76.60669399999999,742.169983
2016-02-29,1932.22998,74.079679,717.219971
2016-02-26,1948.050049,75.141614,724.8599849999999
2016-02-25,1951.699951,76.773848,729.119995
